,Date,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
442,2014-03-02,Dogecoin,DOGE,3.7911975026549527e-05,1.3294426964898207e-08,9.486571233457056e-05,0.598826714801444,-9.72,0.007408744343293832
443,2014-03-02,Nxt,NXT,3.134862947372778e-05,6.17873051540232e-07,1.6964912182718786e-06,0.6592960288808665,-3.04,0.00811968445704425
444,2014-03-02,Omni,OMNI,2.3081611356639763e-05,0.0007349966690835544,5.867609256438948e-10,0.5273014440433212,1.93,0.007934796006409466
445,2014-03-02,Namecoin,NMC,1.906463358318715e-05,4.606234421235789e-05,1.3399081773382108e-08,0.6004061371841155,-3.05,0.008653439805603
446,2014-03-02,Counterparty,XCP,8.820396339012623e-06,6.599683515873287e-05,4.030328659440382e-09,0.6272563176895307,-0.31,0.007095094293109824
447,2014-03-09,Bitcoin,BTC,0.005672104506052819,0.008929306087427133,2.0738696099802905e-08,0.6042418772563177,3.25,0.01098325438889965
448,2014-03-09,Litecoin,LTC,0.0003011340573566636,0.00022429800158957366,4.436546378134927e-08,0.6044675090252708,4.13,0.012220246165765702
449,2014-03-09,Auroracoin,AUR,0.00019840425447905402,0.0003678487662104455,1.7543323900126445e-08,0.6881768953068592,-6.88,0.010078621612579459
450,2014-03-09,XRP,XRP,8.209100551689759e-05,2.0670665248455108e-07,1.3266174389337374e-05,0.6001805054151624,2.38,0.010450599566832773
451,2014-03-09,Peercoin,PPC,4.909150312978649e-05,4.55843089512669e-05,3.55309931343401e-08,0.5963447653429603,2.03,0.010287721646035463
452,2014-03-09,Dogecoin,DOGE,3.6188160953355576e-05,1.2144899357582633e-08,9.908652399606817e-05,0.6155234657039711,3.24,0.008601715060484936
453,2014-03-09,Nxt,NXT,3.332788466871297e-05,6.568448411541015e-07,1.6964896977965673e-06,0.5981498194945848,1.76,0.010173266890880597
454,2014-03-09,Omni,OMNI,2.7728906982766383e-05,0.0008826128362181034,5.867609256438948e-10,0.6128158844765343,9.73,0.011361835502104206
455,2014-03-09,Namecoin,NMC,1.9999260717312264e-05,4.7988503886079355e-05,1.3492584217197625e-08,0.60514440433213,2.36,0.009875024211582822
456,2014-03-09,Counterparty,XCP,9.945817887237529e-06,7.435474198167857e-05,4.0303032050545874e-09,0.263312274368231,34.24,0.011568734482576466
457,2014-03-16,Bitcoin,BTC,0.005632716199447839,0.008847297105685716,2.07866351930477e-08,0.6121389891696751,-0.76,0.009389692028666513
458,2014-03-16,Litecoin,LTC,0.0003291910791725523,0.00024322315122220816,4.472504940466157e-08,0.618231046931408,2.55,0.01038126639784473
459,2014-03-16,XRP,XRP,7.96443502506682e-05,2.00538455567248e-07,1.3266174389337374e-05,0.6191335740072202,-0.5,0.009167385677308024
460,2014-03-16,Auroracoin,AUR,7.401287122429053e-05,0.0001371820331732178,1.7560293490655578e-08,0.5762635379061372,-47.72,0.002431063020549031
461,2014-03-16,SpainCoin,SPA,5.428806443897499e-05,4.22913329151885e-05,4.24348606181948e-08,0.6207129963898917,513.53,0.009526157313658854
462,2014-03-16,Peercoin,PPC,4.853879160476573e-05,4.5030573091645375e-05,3.5563978624410626e-08,0.6128158844765343,-0.33,0.009335766230564702
463,2014-03-16,Dogecoin,DOGE,3.5771583811775006e-05,1.1515462899430567e-08,0.00010326474844735773,0.6189079422382672,-1.74,0.008958285643852018
464,2014-03-16,Omni,OMNI,3.0086961334290455e-05,0.0009574723169871908,5.867609256438948e-10,0.6125902527075813,2.47,0.010358155341515381
465,2014-03-16,Nxt,NXT,2.2989132096884998e-05,4.534345291766746e-07,1.6964896977965673e-06,0.5245938628158845,-14.41,0.00611562571534222
466,2014-03-16,Namecoin,NMC,1.963892092951891e-05,4.684037814169953e-05,1.3577941257559156e-08,0.6031137184115524,-1.2,0.009242221478755436
467,2014-03-23,Bitcoin,BTC,0.0050215401760187696,0.007868236031357426,2.0838137900303615e-08,0.595442238267148,-0.8,0.008311176066630276
468,2014-03-23,Litecoin,LTC,0.00029377050386499205,0.00021532607880076916,4.508471987592652e-08,0.6040162454873647,-2.09,0.008273758165906569
469,2014-03-23,Auroracoin,AUR,8.954578089841776e-05,0.00016584031716876938,1.7572596443789196e-08,0.5726534296028881,-22.88,0.011530216055360885
470,2014-03-23,XRP,XRP,7.042107536203074e-05,1.7726753083378634e-07,1.3266174389337374e-05,0.595216606498195,-2.4,0.008258350795020337
471,2014-03-23,Aphroditecoin,APH,6.186160536160329e-05,5.4041748042650886e-05,3.778505705648846e-08,0.5794223826714802,-9.16,0.009526157313658854
472,2014-03-23,Peercoin,PPC,4.3063376684287404e-05,3.991657710202681e-05,3.5601264208721234e-08,0.43637184115523464,6.89,0.008305673434170907
473,2014-03-23,Dogecoin,DOGE,3.3438758170522295e-05,1.0358925977436237e-08,0.00010725335659466891,0.6678700361010831,8.45,0.008619323484354915
474,2014-03-23,Nxt,NXT,2.9715916715491053e-05,5.857703903115409e-07,1.6964896977965673e-06,0.608754512635379,2.03,0.012377621454103644
475,2014-03-23,Omni,OMNI,1.78276195025555e-05,0.0005681749797292209,5.867609256438948e-10,0.595442238267148,2.18,0.005533447201141026
476,2014-03-23,Namecoin,NMC,1.7147103503128557e-05,4.0645545828617176e-05,1.3671952789090546e-08,0.5618231046931408,6.23,0.008059155499991196
477,2014-03-30,Bitcoin,BTC,0.0041274925021495094,0.006452354466249218,2.088764668067236e-08,0.6060469314079422,-6.31,0.007543008575302424
478,2014-03-30,Litecoin,LTC,0.00025312284019159137,0.0001842047216271036,4.542241472745624e-08,0.6130415162454874,-3.04,0.007984319698543784
479,2014-03-30,XRP,XRP,5.3716108176327236e-05,1.352536986493378e-07,1.3266174389337374e-05,0.6071750902527075,-6.87,0.006935517951788136
480,2014-03-30,Peercoin,PPC,3.0190483837249525e-05,2.7979714204109588e-05,3.5631765350738297e-08,0.588673285198556,-4.59,0.006100218344455987
481,2014-03-30,Dogecoin,DOGE,2.4690096700752575e-05,7.3631448837369875e-09,0.00011119539475529918,0.608754512635379,-11.36,0.006670291067246571
482,2014-03-30,Nxt,NXT,1.9908831929159672e-05,3.928740503522443e-07,1.6964896977965673e-06,0.615297833935018,-1.45,0.005954948847528657
483,2014-03-30,Omni,OMNI,1.8438635701236323e-05,0.0005875206882425806,5.867609256438948e-10,0.6060469314079422,30.36,0.009818897360497262
484,2014-03-30,Auroracoin,AUR,1.5001549868461803e-05,2.7840929773470266e-05,1.7600723540091234e-08,0.6326714801444043,-2.16,0.0003939884840907879
485,2014-03-30,Namecoin,NMC,1.3634336528452591e-05,3.213343408273891e-05,1.3767897156983205e-08,0.6022111913357401,-3.33,0.006944322163723125
486,2014-03-30,BitShares PTS,PTS,6.622849867541697e-06,8.369114913377824e-05,2.2035776933651405e-09,0.6123646209386282,-6.17,0.007004851120776179
487,2014-04-06,Bitcoin,BTC,0.004139919639037701,0.006455578751001444,2.0941440282649706e-08,0.6137184115523465,0.07,0.009468929936081422
488,2014-04-06,Litecoin,LTC,0.00022604224003992593,0.00016317677759084304,4.5775127666604244e-08,0.6067238267148014,4.69,0.008236340265182863
489,2014-04-06,XRP,XRP,4.588223758193821e-05,1.1554350577268293e-07,1.3266174389337374e-05,0.615297833935018,-0.49,0.007981018119068163
490,2014-04-06,Peercoin,PPC,2.8217832900670984e-05,2.6133460717725914e-05,3.566267036900995e-08,0.6067238267148014,-0.05,0.00874808508390414
491,2014-04-06,Dogecoin,DOGE,2.2157697955166245e-05,6.379037102839995e-09,0.00011505216118509344,0.6177797833935018,-1.14,0.007970012854149425
492,2014-04-06,Nxt,NXT,2.0199946192369695e-05,3.9862168838882215e-07,1.6964896977965673e-06,0.5726534296028881,-1.7,0.009757267876952334
493,2014-04-06,Omni,OMNI,1.6455223359382416e-05,0.0005245770424273741,5.867609256438948e-10,0.6137184115523465,0.53,0.008424530295293269
494,2014-04-06,Auroracoin,AUR,1.4051613151220062e-05,2.602551727167311e-05,1.7643147516414063e-08,0.578745487364621,-8.26,0.008277059745382192
495,2014-04-06,Namecoin,NMC,1.1715744914689966e-05,2.744280069971707e-05,1.3866999565673332e-08,0.6067238267148014,0.34,0.007890774946734519
496,2014-04-06,BitShares PTS,PTS,5.452202935378657e-06,6.877392563445502e-05,2.2141412634695253e-09,0.6365072202166066,1.89,0.007561717525664278
497,2014-04-13,Bitcoin,BTC,0.0037306914911351095,0.005804553603638818,2.0988827864202306e-08,0.6261281588447654,-2.27,0.008463048722508849
498,2014-04-13,Litecoin,LTC,0.0002016407411235787,0.0001445320005453587,4.611002253569666e-08,0.6455324909747292,-3.89,0.008300170801711538
499,2014-04-13,XRP,XRP,3.329257970904685e-05,8.386140342471706e-08,1.3266174389337374e-05,0.6254512635379061,-4.78,0.006549233153140462
500,2014-04-13,Peercoin,PPC,2.5694180624069858e-05,2.377833098566473e-05,3.569819111590553e-08,0.6491425992779783,-7.03,0.00856099558028561
501,2014-04-13,Dogecoin,DOGE,1.937487612142215e-05,5.389321870199998e-09,0.00011890764172719575,0.6504963898916968,-7.23,0.007800531774400874
502,2014-04-13,Nxt,NXT,1.5001117842881414e-05,2.962856940790209e-07,1.6964896977965673e-06,0.6297382671480144,-9.05,0.006666989487770949
503,2014-04-13,Omni,OMNI,1.3829637106622214e-05,0.0004413063840437823,5.867609256438948e-10,0.6252256317689531,8.14,0.007828044936697717
504,2014-04-13,Namecoin,NMC,9.888330226419083e-06,2.3022726863295106e-05,1.3968223173179603e-08,0.6279332129963899,-6.99,0.007745505449807188
505,2014-04-13,BlackCoin,BLK,8.471933292057956e-06,2.2541274701484515e-06,1.259687289002949e-07,0.8641696750902528,127.86,0.04903175679244951
506,2014-04-13,Auroracoin,AUR,6.307842825086442e-06,1.1723711601144444e-05,1.7684680589234112e-08,0.5911552346570397,-28.2,0.0034699600288778153
507,2014-04-20,Bitcoin,BTC,0.004499147038938256,0.006983660518898734,2.1039779059766024e-08,0.6078519855595668,-0.7,0.011827358208166787
508,2014-04-20,Litecoin,LTC,0.00024856133668671985,0.00017691503436119993,4.643303869141868e-08,0.6060469314079422,-1.71,0.01212780194044831
509,2014-04-20,Peercoin,PPC,4.004864851788045e-05,3.698387984043634e-05,3.5739831097145914e-08,0.6270306859205776,-2.49,0.01580686200278213
510,2014-04-20,XRP,XRP,3.455467819921533e-05,8.704363228887115e-08,1.3266174389337374e-05,0.6080776173285198,-3.78,0.00998727791375394
511,2014-04-20,Dogecoin,DOGE,3.2359248003104265e-05,8.742578012515678e-09,0.00012284162397520465,0.6037906137184116,-2.87,0.016394543149442692
512,2014-04-20,Omni,OMNI,3.0363631704758788e-05,0.0009661638671888453,5.867609256438948e-10,0.6310920577617328,-8.31,0.022739078375094646
513,2014-04-20,Nxt,NXT,1.8284939397417988e-05,3.6091157541712827e-07,1.6964896977965673e-06,0.6750902527075813,0.01,0.011897791903646704
514,2014-04-20,Namecoin,NMC,1.5827878720465044e-05,3.6505844579345354e-05,1.4068852845017357e-08,0.6234205776173285,-3.11,0.015837676744554594
515,2014-04-20,BlackCoin,BLK,1.2585065450522017e-05,3.339169382419495e-06,1.2597777029812884e-07,0.5873194945848376,3.92,0.01366633797608776
516,2014-04-20,Auroracoin,AUR,6.384377897783031e-06,1.1837262498940252e-05,1.772651062988842e-08,0.6067238267148014,-5.53,0.009541564684545086
517,2014-04-27,Bitcoin,BTC,0.003950239490764335,0.00611758959719195,2.1089118144229474e-08,0.5965703971119134,-4.62,0.00810207603317427
518,2014-04-27,Litecoin,LTC,0.00019678735770707476,0.0001390072587155652,4.680467272400667e-08,0.6094314079422383,-6.54,0.007161125882622247
519,2014-04-27,Peercoin,PPC,3.06056157478551e-05,2.8253077476580976e-05,3.5771852714474386e-08,0.6141696750902527,-7.49,0.006931115845820641
520,2014-04-27,XRP,XRP,2.7004123071514735e-05,6.804838950944913e-08,1.3266174389337374e-05,0.595216606498195,-9.73,0.007086290081174834
521,2014-04-27,Dogecoin,DOGE,2.336409139427191e-05,6.100066378625605e-09,0.00012680104594728104,0.615297833935018,-6.68,0.0061750541459034
522,2014-04-27,Omni,OMNI,1.5377048645480305e-05,0.0004903715867950569,5.867609256438948e-10,0.5304602888086642,-13.68,0.003980604321107218
523,2014-04-27,Nxt,NXT,1.405281207957814e-05,2.776409170335366e-07,1.6964896977965673e-06,0.6301895306859205,-7.26,0.007096194819601697
524,2014-04-27,Namecoin,NMC,1.215001944700786e-05,2.787317262099253e-05,1.416532496717547e-08,0.6010830324909747,-9.89,0.0068947984715888085
525,2014-04-27,BlackCoin,BLK,7.106673831175233e-06,1.893848695660521e-06,1.2598728684449757e-07,0.5870938628158845,-13.91,0.004628814424820834
526,2014-04-27,Dash,DASH,4.993903538789935e-06,2.3925526593918558e-05,6.59574384078104e-09,0.6277075812274369,-1.68,0.024537338662816294
527,2014-05-04,Bitcoin,BTC,0.003958836209255125,0.006117729783485525,2.1135360278421357e-08,0.6128158844765343,-0.31,0.009547067317004455
528,2014-05-04,Litecoin,LTC,0.00020640990375525998,0.0001446721868389338,4.71715552712465e-08,0.6157490974729242,0.17,0.009936653695127749
529,2014-05-04,Peercoin,PPC,3.178549406418471e-05,2.9311483993072753e-05,3.5806979766869684e-08,0.621389891696751,0.76,0.010018092655526403
530,2014-05-04,XRP,XRP,2.792759217468277e-05,7.036146335343779e-08,1.3266174389337374e-05,0.6130415162454874,0.01,0.009903637900371538
531,2014-05-04,Dogecoin,DOGE,2.5290579188130826e-05,6.4953917265073025e-09,0.0001289521622872821,0.6080776173285198,1.49,0.01023379584793365
532,2014-05-04,Nxt,NXT,1.6035232319137894e-05,3.1661270664740607e-07,1.6964896977965673e-06,0.6134927797833936,-1.25,0.011271592329770562
533,2014-05-04,Omni,OMNI,1.4211266865286473e-05,0.0004533624052912384,5.867609256438948e-10,0.6130415162454874,-3.16,0.008538985050448134
534,2014-05-04,Namecoin,NMC,1.290700758043496e-05,2.9413819987382554e-05,1.4257894083511884e-08,0.6220667870036101,1.82,0.010158960046486238
535,2014-05-04,BlackCoin,BLK,6.978855152622063e-06,1.8602039852025043e-06,1.2599863610664345e-07,0.5584386281588447,-4.14,0.009322559912662218
536,2014-05-04,Dash,DASH,4.592760132980485e-06,2.1734414825340208e-05,6.691745905281497e-09,0.5051895306859205,30.16,0.008643535067176137
537,2014-05-11,Bitcoin,BTC,0.003990319962750579,0.006152636170585718,2.118397815528732e-08,0.6125902527075813,-3.39,0.009615299959500626
538,2014-05-11,Litecoin,LTC,0.00020858735866394575,0.00014523293201323405,4.750407439766483e-08,0.6101083032490975,-3.59,0.009583384691236287
539,2014-05-11,XRP,XRP,3.199158583143814e-05,8.059506278441792e-08,1.3266174389337374e-05,0.6123646209386282,-3.4,0.011146132309696959
540,2014-05-11,Peercoin,PPC,3.143260298665913e-05,2.896382198500658e-05,3.58363473402394e-08,0.5785198555956679,-3.76,0.009411702558503989
541,2014-05-11,Dogecoin,DOGE,2.50171880441933e-05,6.327168174217218e-09,0.0001309253117707193,0.618231046931408,-4.33,0.00928514201193851
542,2014-05-11,Nxt,NXT,2.1309967501808326e-05,4.20350563892958e-07,1.6964896977965673e-06,0.6265794223826715,-3.89,0.013221725273370781
543,2014-05-11,Omni,OMNI,1.3732436838838379e-05,0.0004382222855851308,5.867609256438948e-10,0.6058212996389891,-4.37,0.009235618319804195
544,2014-05-11,Namecoin,NMC,1.2688745018704958e-05,2.8725505285928963e-05,1.4357166188107304e-08,0.608754512635379,-2.51,0.00930275043580849
545,2014-05-11,Dash,DASH,7.749343511711392e-06,3.6039024221740375e-05,6.7748103539625444e-09,0.5611462093862816,-1.21,0.016348321036784
546,2014-05-11,BlackCoin,BLK,6.140713873991059e-06,1.6387096413538933e-06,1.2600997179311692e-07,0.6026624548736462,-7.03,0.008269356059939075
547,2014-05-18,Bitcoin,BTC,0.004066728706621849,0.006255953468950544,2.1233741479514e-08,0.6139440433212996,-0.56,0.009749564191509219
548,2014-05-18,Litecoin,LTC,0.00021022797162191696,0.00014523293201323405,4.786501758821947e-08,0.6204873646209387,0.04,0.009522855734183234
549,2014-05-18,XRP,XRP,3.33860158279915e-05,8.409972012379467e-08,1.3266174389337374e-05,0.6128158844765343,-7.44,0.009982875807786446
